A1,Q1,A2,Q2,A3,A4,Q3,Mid,AWS Labs,Q4,A5,Q5,A6,Final,Total
1.0,0.9642857142857144,1.0,1.0999999999999999,1.0,4.0,1.1341463414634148,24.0625,2.7,0.40625,3.8,0.5625,2.6,28.727272727272727,74.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0357142857142856,1.0,0.0,0.4,4.0,0.5853658536585367,22.75,2.4000000000000004,0.375,2.4,0.1875,0.0,25.090909090909093,60.0
0.9,0.9642857142857144,0.0,1.1500000000000001,1.0,4.0,0.8048780487804879,29.3125,2.0999999999999996,0.90625,3.6,0.625,0.0,31.272727272727273,77.0
1.0,0.0,1.0,1.3,0.6,4.0,0.9146341463414633,22.75,2.7,0.78125,2.4,1.0,0.0,32.0,70.0
1.0,0.0,1.0,1.0499999999999998,1.0,4.0,0.8048780487804879,25.375,3.0,0.65625,2.8,0.5,0.0,28.727272727272727,70.0
0.0,0.8983571428571429,1.0,0.0,0.0,4.0,0.6951219512195123,21.4375,1.2000000000000002,0.5,0.0,0.0,0.0,26.90909090909091,54.0
0.9,0.8571428571428571,1.0,1.3,0.6,4.0,0.6951219512195123,23.625,1.7999999999999998,0.9375,2.0,0.5,0.0,26.90909090909091,64.0
1.0,0.6785714285714286,1.0,1.0999999999999999,0.6,4.0,0.6585365853658537,22.75,3.0,0.65625,2.4,0.0,2.4,23.636363636363637,63.0
0.0,0.5714285714285714,0.0,0.7,0.9,4.0,0.7317073170731707,18.8125,3.0,0.8125,2.0,0.4375,0.0,28.727272727272727,61.0
1.0,0.7857142857142858,1.0,1.1500000000000001,0.0,4.0,0.7317073170731707,22.75,2.7,0.0,0.8,0.4375,0.0,25.090909090909093,57.99999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.7682926829268293,28.875,1.2000000000000002,0.75,2.8,0.0,0.0,27.636363636363637,63.0
1.0,1.1785714285714286,1.0,0.5,0.8,4.0,0.8048780487804879,20.125,2.7,0.59375,3.8,1.0,2.6,30.545454545454547,71.0
0.9,0.8571428571428571,1.0,0.5,0.0,4.0,0.6951219512195123,25.375,2.4000000000000004,1.0,2.4,0.0,0.0,28.0,65.0
0.0,0.0,0.0,0.6000000000000001,0.0,3.2,0.5121951219512195,16.1875,1.7999999999999998,0.1875,0.0,0.0,0.0,11.272727272727272,32.0
1.0,0.0,1.0,1.0,1.0,4.0,0.8780487804878048,23.625,2.4000000000000004,1.0625,4.0,0.875,4.0,32.72727272727273,78.0
