Q1,Q2,A1,Q3,Q4,Midterm,Q5,A2,Q6,Q7,Q8,Final,Total
2.1,1.8214285714285714,2.0,2.5375,1.75,32.38,2.1,2.0,1.72265625,0.984375,2.1,31.67,84.0
2.1,1.3660714285714286,2.0,2.275,1.1375,26.25,1.3708333333333333,2.0,1.23046875,0.984375,1.640625,30.0,73.0
2.3625000000000003,1.8482142857142858,2.0,2.5375,1.225,31.5,2.158333333333333,2.0,2.1328125,1.3125,2.165625,34.0,86.0
2.1875,1.2321428571428572,2.0,2.45,0.7875,23.63,2.0416666666666665,2.0,1.4765625,1.203125,1.70625,28.67,70.0
2.1875,1.7410714285714284,2.0,1.96875,1.05,24.06,1.0791666666666666,2.0,1.06640625,1.203125,1.640625,31.33,72.0
2.5375,1.875,2.0,2.1,1.4875,24.5,0.0,2.0,1.599609375,1.09375,2.165625,32.33,74.0
2.45,1.4196428571428572,2.0,2.5375,1.3125,30.63,1.75,2.0,1.4765625,1.09375,2.1,33.67,83.0
2.31875,1.2321428571428572,2.0,1.8375,0.525,17.94,1.4875,2.0,1.06640625,0.875,1.1812500000000001,22.0,55.00000000000001
2.45,1.6607142857142858,2.0,1.8375,0.9624999999999999,22.31,1.6333333333333333,1.6,1.23046875,0.0,0.0,12.330000000000002,49.0
2.3625000000000003,1.4464285714285712,2.0,1.9249999999999998,2.1875,25.38,0.0,2.0,1.4765625,1.3125,1.8375,37.0,79.0
2.3625000000000003,1.5,2.0,2.0125,0.7,24.94,0.0,2.0,1.96875,0.0,2.3625000000000003,32.67,73.0
2.1875,1.6875000000000002,2.0,1.9249999999999998,1.05,19.69,1.4,2.0,1.640625,1.09375,2.1,29.67,67.0
2.5375,1.7410714285714284,2.0,1.8375,0.875,26.69,2.0125,2.0,1.55859375,1.421875,1.378125,30.33,75.0
2.1875,2.142857142857143,2.0,2.1,1.3125,22.75,1.8375,2.0,0.8203125,0.765625,2.428125,31.33,72.0
2.40625,1.8482142857142858,2.0,1.88125,1.1375,22.31,1.3125,1.8,1.3125,0.0,1.771875,27.33,66.0
2.3625000000000003,1.4464285714285712,2.0,2.3625000000000003,0.7,31.06,1.5166666666666666,2.0,1.72265625,0.0,2.3625000000000003,32.33,80.0
